Candidate,Party,Criminal Cases,Education,Age,Total Assets,Liabilities,Winner,Constituency,State,District,Year,House,Comment
Anand Ramnath Arleka,IND,0,10th Pass,58,843025,1336346,No,ANDAMAN AND NICOBAR ISLANDS,ANDAMAN AND NICOBAR ISLANDS,,2024,Lok Sabha,No Comment
Bishnu Pada Ray,BJP,0,Graduate,73,27439170,302788,No,ANDAMAN AND NICOBAR ISLANDS,ANDAMAN AND NICOBAR ISLANDS,,2024,Lok Sabha,No Comment
D Ayyappa,CPI(M),0,Post Graduate,60,13287710,2649000,No,ANDAMAN AND NICOBAR ISLANDS,ANDAMAN AND NICOBAR ISLANDS,,2024,Lok Sabha,No Comment
Dr Arun Kumar Mallik,BSP,0,Post Graduate,64,111872135,0,No,ANDAMAN AND NICOBAR ISLANDS,ANDAMAN AND NICOBAR ISLANDS,,2024,Lok Sabha,No Comment
K J B Selvaraj,AIADMK,0,Graduate,50,32860000,307000,No,ANDAMAN AND NICOBAR ISLANDS,ANDAMAN AND NICOBAR ISLANDS,,2024,Lok Sabha,No Comment
K Venkat Ram Babu,IND,0,10th Pass,50,399000,0,No,ANDAMAN AND NICOBAR ISLANDS,ANDAMAN AND NICOBAR ISLANDS,,2024,Lok Sabha,No Comment
Kuldeep Rai Sharma,INC,0,Graduate Professional,56,152041369,164057549,No,ANDAMAN AND NICOBAR ISLANDS,ANDAMAN AND NICOBAR ISLANDS,,2024,Lok Sabha,No Comment
Manoj Paul,Andaman Nicobar Democratic Congress,15,Graduate Professional,35,2433734,1000000,No,ANDAMAN AND NICOBAR ISLANDS,ANDAMAN AND NICOBAR ISLANDS,,2024,Lok Sabha,No Comment
Rinku Mala Mondal,IND,0,Others,36,265362,220000,No,ANDAMAN AND NICOBAR ISLANDS,ANDAMAN AND NICOBAR ISLANDS,,2024,Lok Sabha,No Comment
Salamat Mondal,SUCI(C),0,Literate,48,17962500,4500000,No,ANDAMAN AND NICOBAR ISLANDS,ANDAMAN AND NICOBAR ISLANDS,,2024,Lok Sabha,No Comment
Usha Kuma,IND,0,12th Pass,39,600000,0,No,ANDAMAN AND NICOBAR ISLANDS,ANDAMAN AND NICOBAR ISLANDS,,2024,Lok Sabha,No Comment
V.K. Abdul Aziz,IND,2,8th Pass,42,8267000,187000,No,ANDAMAN AND NICOBAR ISLANDS,ANDAMAN AND NICOBAR ISLANDS,,2024,Lok Sabha,No Comment
Bandey Mil,Arunachal Democratic Party,1,12th Pass,43,34740988,0,No,ARUNACHAL EAST,ARUNACHAL PRADESH,,2024,Lok Sabha,No Comment
Bosiram Siram,INC,0,Graduate,57,174489335,1211053,No,ARUNACHAL EAST,ARUNACHAL PRADESH,,2024,Lok Sabha,No Comment
Omak Nitik,IND,0,Graduate,30,1036674,0,No,ARUNACHAL EAST,ARUNACHAL PRADESH,,2024,Lok Sabha,No Comment
Sotai K,IND,0,8th Pass,54,12463388,0,No,ARUNACHAL EAST,ARUNACHAL PRADESH,,2024,Lok Sabha,No Comment
Tamat Gamoh,IND,0,Graduate,55,8680850,0,No,ARUNACHAL EAST,ARUNACHAL PRADESH,,2024,Lok Sabha,No Comment
Tapir Gao,BJP,0,Post Graduate,59,150537706,0,No,ARUNACHAL EAST,ARUNACHAL PRADESH,,2024,Lok Sabha,No Comment
Bimpak Siga,IND,0,Graduate,41,34400000,0,No,ARUNACHAL WEST,ARUNACHAL PRADESH,,2024,Lok Sabha,No Comment
Kiren Rijiju,BJP,0,Graduate Professional,53,49403234,0,No,ARUNACHAL WEST,ARUNACHAL PRADESH,,2024,Lok Sabha,No Comment
Leki Norbu,IND,0,Illiterate,38,6369176,0,No,ARUNACHAL WEST,ARUNACHAL PRADESH,,2024,Lok Sabha,No Comment
Nabam Tuk,INC,1,Graduate,56,621025404,41620010,No,ARUNACHAL WEST,ARUNACHAL PRADESH,,2024,Lok Sabha,No Comment
Ruhi Tagung,IND,0,10th Pass,53,91187000,9733555,No,ARUNACHAL WEST,ARUNACHAL PRADESH,,2024,Lok Sabha,No Comment
Tania Ju,IND,0,10th Pass,36,5230000,0,No,ARUNACHAL WEST,ARUNACHAL PRADESH,,2024,Lok Sabha,No Comment
Techi Rana,IND,0,Post Graduate,28,746620,0,No,ARUNACHAL WEST,ARUNACHAL PRADESH,,2024,Lok Sabha,No Comment
Toko Sheetal,Gana Suraksha Party,0,12th Pass,43,12602960,0,No,ARUNACHAL WEST,ARUNACHAL PRADESH,,2024,Lok Sabha,No Comment
Abdul Hamed,Rashtriya Ulama Council,0,12th Pass,28,25800000,445000,No,DARRANG-UDALGURI,ASSAM,,2024,Lok Sabha,No Comment
Abul Kasem,Republican Party of India (Athawale),0,Graduate Professional,72,23560873,0,No,DARRANG-UDALGURI,ASSAM,,2024,Lok Sabha,No Comment
Aroon Barooa,Bharatheeya Jawan Kisan Party,0,Post Graduate,67,6110000,0,No,DARRANG-UDALGURI,ASSAM,,2024,Lok Sabha,No Comment
Biren Basak,Bharatiya Gana Parishad,0,12th Pass,50,6862500,2187142,No,DARRANG-UDALGURI,ASSAM,,2024,Lok Sabha,No Comment
Daniel Mard,IND,0,Post Graduate,37,142553,100123,No,DARRANG-UDALGURI,ASSAM,,2024,Lok Sabha,No Comment
Dilip Saikia,BJP,0,Graduate,50,26442931,3730107,No,DARRANG-UDALGURI,ASSAM,,2024,Lok Sabha,No Comment
Durgadas Boro,Bodoland Peoples Front,0,Graduate,65,32053278,0,No,DARRANG-UDALGURI,ASSAM,,2024,Lok Sabha,No Comment
Jitendra Chaliha,SUCI(C),0,12th Pass,54,75191,0,No,DARRANG-UDALGURI,ASSAM,,2024,Lok Sabha,No Comment
Lalit Pegu,Voters Party International,0,Graduate,42,4602000,0,No,DARRANG-UDALGURI,ASSAM,,2024,Lok Sabha,No Comment
Madhab Rajbangsh,INC,0,Graduate Professional,67,13155192,1259457,No,DARRANG-UDALGURI,ASSAM,,2024,Lok Sabha,No Comment
Swarna Dev,Gana Suraksha Party,1,Graduate,48,21653311,0,No,DARRANG-UDALGURI,ASSAM,,2024,Lok Sabha,No Comment
Lurinjyoti Gogo,Assam Jatiya Parishad,0,Post Graduate,45,3431472,0,No,DIBRUGARH,ASSAM,,2024,Lok Sabha,No Comment
Manoj Dhanowa,AAP,0,Graduate Professional,47,93230440,990197,No,DIBRUGARH,ASSAM,,2024,Lok Sabha,No Comment
Sarbananda Sonowal,BJP,0,Graduate Professional,62,47585258,2578370,No,DIBRUGARH,ASSAM,,2024,Lok Sabha,No Comment
Amarsing Tisso,BJP,0,10th Pass,56,227863561,54075091,No,DIPHU (ST),ASSAM,,2024,Lok Sabha,No Comment
J. I. Katha,IND,2,Post Graduate,73,30295873,0,No,DIPHU (ST),ASSAM,,2024,Lok Sabha,No Comment
John Barnard Sangma,Gana Suraksha Party,0,Post Graduate,75,35184386,745089,No,DIPHU (ST),ASSAM,,2024,Lok Sabha,No Comment
Jotson Bey,Autonomous State Demand Committee,0,12th Pass,62,4657171,0,No,DIPHU (ST),ASSAM,,2024,Lok Sabha,No Comment
Joy Ram Engleng,INC,0,10th Pass,64,7603228,6900000,No,DIPHU (ST),ASSAM,,2024,Lok Sabha,No Comment
Arun Chandra Handiqu,Ekam Sanatan Bharat Dal,0,10th Pass,62,1470000,350000,No,JORHAT,ASSAM,,2024,Lok Sabha,No Comment
Gaurav Gogo,INC,1,Post Graduate,41,49061120,0,No,JORHAT,ASSAM,,2024,Lok Sabha,No Comment
Raj Kumar Duwara,IND,0,10th Pass,58,1100000,0,No,JORHAT,ASSAM,,2024,Lok Sabha,No Comment
Topon Kumar Gogo,BJP,0,Post Graduate,55,32298139,284651,No,JORHAT,ASSAM,,2024,Lok Sabha,No Comment
Abdul Basit Tapada,IND,0,12th Pass,53,1335000,0,No,KARIMGANJ,ASSAM,,2024,Lok Sabha,No Comment
Abdul Goffar Talukda,IND,0,12th Pass,43,770600,1100000,No,KARIMGANJ,ASSAM,,2024,Lok Sabha,No Comment
Abdul Hameed,IND,0,12th Pass,59,4432000,25000,No,KARIMGANJ,ASSAM,,2024,Lok Sabha,No Comment
Abdul Kalam Mazumd,IND,3,8th Pass,39,6047515,0,No,KARIMGANJ,ASSAM,,2024,Lok Sabha,No Comment
Abdus Subhan Tapada,IND,0,12th Pass,41,580733,0,No,KARIMGANJ,ASSAM,,2024,Lok Sabha,No Comment
Alim Uddin Mazumd,IND,0,12th Pass,55,2873000,0,No,KARIMGANJ,ASSAM,,2024,Lok Sabha,No Comment
Binay Krishna Roy,IND,0,Graduate Professional,61,8402223,0,No,KARIMGANJ,ASSAM,,2024,Lok Sabha,No Comment
Debashish Ghosh,Bangali Nabanirman Sena,0,12th Pass,36,390000,0,No,KARIMGANJ,ASSAM,,2024,Lok Sabha,No Comment
Debojyoti Nath,IND,0,12th Pass,51,471862,0,No,KARIMGANJ,ASSAM,,2024,Lok Sabha,No Comment
Dilip Kuma,IND,0,Graduate,52,7550122,0,No,KARIMGANJ,ASSAM,,2024,Lok Sabha,No Comment
Gopal Chandra Paul,IND,0,12th Pass,64,2071699,0,No,KARIMGANJ,ASSAM,,2024,Lok Sabha,No Comment
Hafiz Rashid Ahmed Choudhury,INC,0,Post Graduate,71,47988891,0,No,KARIMGANJ,ASSAM,,2024,Lok Sabha,No Comment
Jibesh Deb,IND,0,Graduate,56,491046,0,No,KARIMGANJ,ASSAM,,2024,Lok Sabha,No Comment
Kripanath Mallah,BJP,0,Graduate,50,18862404,6314782,No,KARIMGANJ,ASSAM,,2024,Lok Sabha,No Comment
Md. Nazrul Islam Laska,IND,0,Post Graduate,66,1118000,0,No,KARIMGANJ,ASSAM,,2024,Lok Sabha,No Comment
Muzakkir Hasan Laska,IND,1,Graduate,33,20000,0,No,KARIMGANJ,ASSAM,,2024,Lok Sabha,No Comment
Prajjwal Sudip Deb,SUCI(C),0,Graduate Professional,51,1334382,0,No,KARIMGANJ,ASSAM,,2024,Lok Sabha,No Comment
Rashid Ahmed Choudhury,IND,0,8th Pass,36,1227000,53650,No,KARIMGANJ,ASSAM,,2024,Lok Sabha,No Comment
Rokibul Hussain Choudhury,IND,0,12th Pass,37,290000,0,No,KARIMGANJ,ASSAM,,2024,Lok Sabha,No Comment
Rosid Ahmed Laska,IND,0,8th Pass,57,464799,0,No,KARIMGANJ,ASSAM,,2024,Lok Sabha,No Comment
Safikur Rahman Haza,IND,0,8th Pass,51,352000,0,No,KARIMGANJ,ASSAM,,2024,Lok Sabha,No Comment
Sahabul Islam Choudhury,All India United Democratic Front,2,Post Graduate,55,830391832,252016452,No,KARIMGANJ,ASSAM,,2024,Lok Sabha,No Comment
Sahel Ahmed,IND,0,12th Pass,29,215000,0,No,KARIMGANJ,ASSAM,,2024,Lok Sabha,No Comment
Abdul Hoqu,IND,0,12th Pass,55,20130389,5054285,No,KAZIRANGA,ASSAM,,2024,Lok Sabha,No Comment
Anima Deka Gupta,Voters Party International,0,Graduate,53,4407000,0,No,KAZIRANGA,ASSAM,,2024,Lok Sabha,No Comment
Binod Gogo,IND,0,Graduate,53,330000,0,No,KAZIRANGA,ASSAM,,2024,Lok Sabha,No Comment
Diluwara Begum Chowdhury,IND,0,10th Pass,43,175843077,10773579,No,KAZIRANGA,ASSAM,,2024,Lok Sabha,No Comment
Jyotiska Ranjan Goswam,IND,0,Graduate Professional,44,3219000,0,No,KAZIRANGA,ASSAM,,2024,Lok Sabha,No Comment
Kamakhya Prasad Tasa,BJP,0,Post Graduate,49,20017297,0,No,KAZIRANGA,ASSAM,,2024,Lok Sabha,No Comment
Roselina Tirkey,INC,0,Post Graduate,42,4460172,0,No,KAZIRANGA,ASSAM,,2024,Lok Sabha,No Comment
Sailen Chandra Malaka,Bharatiya Gana Parishad,1,12th Pass,66,16730000,8450000,No,KAZIRANGA,ASSAM,,2024,Lok Sabha,No Comment
Saleh Ahmed Mazumda,Republican Party of India (Athawale),0,Graduate,29,50000,0,No,KAZIRANGA,ASSAM,,2024,Lok Sabha,No Comment
Salim Ahmed,Asom Jana Morcha,0,8th Pass,45,85000,0,No,KAZIRANGA,ASSAM,,2024,Lok Sabha,No Comment
Tridiv Jyoti Bhuya,IND,0,Graduate Professional,62,8640000,1400000,No,KAZIRANGA,ASSAM,,2024,Lok Sabha,No Comment
